match_id,match,bowling_team,batting_team,bowler_name,overs,balls,runs,wickets,economy,bowling_average,bowling_strike_rate,dot_ball_percentage
1298157,India vs Netherlands,Netherlands,India,FJ Klaassen,4.0,24,34,1,8.5,34.0,24.0,33.33
1298157,India vs Netherlands,Netherlands,India,TJG Pringle,4.0,24,30,0,7.5,,,25.0
1298157,India vs Netherlands,Netherlands,India,PA van Meekeren,4.0,24,32,1,8.0,32.0,24.0,37.5
1298157,India vs Netherlands,Netherlands,India,BFW de Leede,3.0,18,33,0,11.0,,,33.33
1298157,India vs Netherlands,Netherlands,India,LV van Beek,4.0,24,45,0,11.25,,,12.5
1298157,India vs Netherlands,Netherlands,India,Shariz Ahmad,1.0,6,5,0,5.0,,,33.33
1298157,India vs Netherlands,India,Netherlands,B Kumar,3.0,18,9,2,3.0,4.5,9.0,77.78
1298157,India vs Netherlands,India,Netherlands,Arshdeep Singh,4.0,24,39,2,9.75,19.5,12.0,29.17
1298157,India vs Netherlands,India,Netherlands,Mohammed Shami,4.0,24,27,1,6.75,27.0,24.0,41.67
1298157,India vs Netherlands,India,Netherlands,AR Patel,4.0,24,18,2,4.5,9.0,12.0,45.83
1298157,India vs Netherlands,India,Netherlands,HH Pandya,1.0,6,9,0,9.0,,,16.67
1298157,India vs Netherlands,India,Netherlands,R Ashwin,4.0,24,21,2,5.25,10.5,12.0,54.17
1298141,Scotland vs Ireland,Ireland,Scotland,J Little,4.0,24,30,1,7.5,30.0,24.0,41.67
1298141,Scotland vs Ireland,Ireland,Scotland,MR Adair,4.0,24,25,1,6.25,25.0,24.0,41.67
1298141,Scotland vs Ireland,Ireland,Scotland,BJ McCarthy,4.0,24,59,0,14.75,,,16.67
1298141,Scotland vs Ireland,Ireland,Scotland,GJ Delany,3.0,18,28,0,9.33,,,16.67
1298141,Scotland vs Ireland,Ireland,Scotland,Simi Singh,2.0,12,16,0,8.0,,,16.67
1298141,Scotland vs Ireland,Ireland,Scotland,C Campher,2.0,12,9,2,4.5,4.5,6.0,58.33
1298141,Scotland vs Ireland,Ireland,Scotland,GH Dockrell,1.0,6,9,0,9.0,,,16.67
1298141,Scotland vs Ireland,Scotland,Ireland,MRJ Watt,4.0,24,40,1,10.0,40.0,24.0,37.5
1298141,Scotland vs Ireland,Scotland,Ireland,BTJ Wheal,4.0,24,27,1,6.75,27.0,24.0,37.5
1298141,Scotland vs Ireland,Scotland,Ireland,JH Davey,4.0,24,46,0,11.5,,,20.83
