match_id,team1,team2,winner,result,date,venue,city,toss_winner,toss_decision,player_of_match
1298136,United Arab Emirates,Netherlands,Netherlands,,2022-10-16,"GMHBA Stadium, South Geelong, Victoria",Geelong,United Arab Emirates,bat,BFW de Leede
1298135,Namibia,Sri Lanka,Namibia,,2022-10-16,"GMHBA Stadium, South Geelong, Victoria",Geelong,Sri Lanka,field,JN Frylinck
1298138,Zimbabwe,Ireland,Zimbabwe,,2022-10-17,"Bellerive Oval, Hobart",Hobart,Ireland,field,Sikandar Raza
1298137,Scotland,West Indies,Scotland,,2022-10-17,"Bellerive Oval, Hobart",Hobart,West Indies,field,HG Munsey
1298140,Sri Lanka,United Arab Emirates,Sri Lanka,,2022-10-18,"GMHBA Stadium, South Geelong, Victoria",Geelong,United Arab Emirates,field,P Nissanka
1298139,Namibia,Netherlands,Netherlands,,2022-10-18,"GMHBA Stadium, South Geelong, Victoria",Geelong,Namibia,bat,BFW de Leede
1298141,Scotland,Ireland,Ireland,,2022-10-19,"Bellerive Oval, Hobart",Hobart,Scotland,bat,C Campher
1298142,West Indies,Zimbabwe,West Indies,,2022-10-19,"Bellerive Oval, Hobart",Hobart,West Indies,bat,AS Joseph
1298144,United Arab Emirates,Namibia,United Arab Emirates,,2022-10-20,"GMHBA Stadium, South Geelong, Victoria",Geelong,United Arab Emirates,bat,Waseem Muhammad
1298143,Sri Lanka,Netherlands,Sri Lanka,,2022-10-20,"GMHBA Stadium, South Geelong, Victoria",Geelong,Sri Lanka,bat,BKG Mendis
1298145,West Indies,Ireland,Ireland,,2022-10-21,"Bellerive Oval, Hobart",Hobart,West Indies,bat,GJ Delany
1298146,Scotland,Zimbabwe,Zimbabwe,,2022-10-21,"Bellerive Oval, Hobart",Hobart,Scotland,bat,Sikandar Raza
1298147,New Zealand,Australia,New Zealand,,2022-10-22,Sydney Cricket Ground,Sydney,Australia,field,DP Conway
1298150,Pakistan,India,India,,2022-10-23,Melbourne Cricket Ground,Melbourne,India,field,V Kohli
1298149,Ireland,Sri Lanka,Sri Lanka,,2022-10-23,"Bellerive Oval, Hobart",Hobart,Ireland,bat,BKG Mendis
1298152,Zimbabwe,South Africa,,no result,2022-10-24,"Bellerive Oval, Hobart",Hobart,Zimbabwe,bat,
1298151,Bangladesh,Netherlands,Bangladesh,,2022-10-24,"Bellerive Oval, Hobart",Hobart,Netherlands,field,Taskin Ahmed
1298153,Sri Lanka,Australia,Australia,,2022-10-25,Perth Stadium,Perth,Australia,field,MP Stoinis
1298154,Ireland,England,Ireland,,2022-10-26,Melbourne Cricket Ground,Melbourne,England,field,A Balbirnie
1298158,Zimbabwe,Pakistan,Zimbabwe,,2022-10-27,Perth Stadium,Perth,Zimbabwe,bat,Sikandar Raza
1298156,South Africa,Bangladesh,South Africa,,2022-10-27,Sydney Cricket Ground,Sydney,South Africa,bat,RR Rossouw
1298157,India,Netherlands,India,,2022-10-27,Sydney Cricket Ground,Sydney,India,bat,SA Yadav
1298161,New Zealand,Sri Lanka,New Zealand,,2022-10-29,Sydney Cricket Ground,Sydney,New Zealand,bat,GD Phillips
1298162,Bangladesh,Zimbabwe,Bangladesh,,2022-10-30,"Brisbane Cricket Ground, Woolloongabba, Brisbane",Brisbane,Bangladesh,bat,Taskin Ahmed
1298163,Netherlands,Pakistan,Pakistan,,2022-10-30,Perth Stadium,Perth,Netherlands,bat,Shadab Khan
1298164,India,South Africa,South Africa,,2022-10-30,Perth Stadium,Perth,India,bat,L Ngidi
1298165,Australia,Ireland,Australia,,2022-10-31,"Brisbane Cricket Ground, Woolloongabba, Brisbane",Brisbane,Ireland,field,AJ Finch
1298167,England,New Zealand,England,,2022-11-01,"Brisbane Cricket Ground, Woolloongabba, Brisbane",Brisbane,England,bat,JC Buttler
1298169,India,Bangladesh,India,,2022-11-02,Adelaide Oval,Adelaide,Bangladesh,field,V Kohli
1298168,Zimbabwe,Netherlands,Netherlands,,2022-11-02,Adelaide Oval,Adelaide,Zimbabwe,bat,MP O'Dowd
1298170,Pakistan,South Africa,Pakistan,,2022-11-03,Sydney Cricket Ground,Sydney,Pakistan,bat,Shadab Khan
1298171,New Zealand,Ireland,New Zealand,,2022-11-04,Adelaide Oval,Adelaide,Ireland,field,KS Williamson
1298173,Sri Lanka,England,England,,2022-11-05,Sydney Cricket Ground,Sydney,Sri Lanka,bat,AU Rashid
1298175,Bangladesh,Pakistan,Pakistan,,2022-11-06,Adelaide Oval,Adelaide,Bangladesh,bat,Shaheen Shah Afridi
1298174,Netherlands,South Africa,Netherlands,,2022-11-06,Adelaide Oval,Adelaide,South Africa,field,CN Ackermann
1298176,India,Zimbabwe,India,,2022-11-06,Melbourne Cricket Ground,Melbourne,India,bat,SA Yadav
1298177,New Zealand,Pakistan,Pakistan,,2022-11-09,Sydney Cricket Ground,Sydney,New Zealand,bat,Mohammad Rizwan
1298178,India,England,England,,2022-11-10,Adelaide Oval,Adelaide,England,field,AD Hales
1298179,Pakistan,England,England,,2022-11-13,Melbourne Cricket Ground,Melbourne,England,field,SM Curran
