match_id,match,batting_team,bowling_team,batsman_name,batting_position,runs,balls,4s,6s,strike_rate,out/not_out,dismissal
1298135,Namibia vs Sri Lanka,Namibia,Sri Lanka,M van Lingen,1,3,6,0,0,50.0,out,caught
1298135,Namibia vs Sri Lanka,Namibia,Sri Lanka,D la Cock,2,9,9,1,0,100.0,out,caught
1298135,Namibia vs Sri Lanka,Namibia,Sri Lanka,JN Loftie-Eaton,3,20,12,1,2,166.67,out,caught
1298135,Namibia vs Sri Lanka,Namibia,Sri Lanka,SJ Baard,4,26,24,2,0,108.33,out,caught
1298135,Namibia vs Sri Lanka,Namibia,Sri Lanka,MG Erasmus,5,20,24,0,0,83.33,out,caught
1298135,Namibia vs Sri Lanka,Namibia,Sri Lanka,JN Frylinck,6,44,28,4,0,157.14,out,run out
1298135,Namibia vs Sri Lanka,Namibia,Sri Lanka,D Wiese,7,0,1,0,0,0.0,out,caught
1298135,Namibia vs Sri Lanka,Namibia,Sri Lanka,JJ Smit,8,31,16,2,2,193.75,not out,
1298135,Namibia vs Sri Lanka,Sri Lanka,Namibia,P Nissanka,1,9,10,1,0,90.0,out,caught
1298135,Namibia vs Sri Lanka,Sri Lanka,Namibia,BKG Mendis,2,6,6,0,0,100.0,out,caught
1298135,Namibia vs Sri Lanka,Sri Lanka,Namibia,DM de Silva,3,12,11,1,0,109.09,out,caught
1298135,Namibia vs Sri Lanka,Sri Lanka,Namibia,MD Gunathilaka,4,0,1,0,0,0.0,out,caught
1298135,Namibia vs Sri Lanka,Sri Lanka,Namibia,PBB Rajapaksa,5,20,21,2,0,95.24,out,caught
1298135,Namibia vs Sri Lanka,Sri Lanka,Namibia,MD Shanaka,6,29,23,2,1,126.09,out,caught
1298135,Namibia vs Sri Lanka,Sri Lanka,Namibia,PWH de Silva,7,4,8,0,0,50.0,out,caught
1298135,Namibia vs Sri Lanka,Sri Lanka,Namibia,C Karunaratne,8,5,8,0,0,62.5,out,caught
1298135,Namibia vs Sri Lanka,Sri Lanka,Namibia,PVD Chameera,9,8,15,0,0,53.33,out,caught
1298135,Namibia vs Sri Lanka,Sri Lanka,Namibia,M Theekshana,10,11,11,0,1,100.0,not out,
1298136,United Arab Emirates vs Netherlands,Netherlands,United Arab Emirates,Vikramjit Singh,1,10,7,2,0,142.86,out,bowled
1298136,United Arab Emirates vs Netherlands,Netherlands,United Arab Emirates,MP O'Dowd,2,23,18,3,1,127.78,out,bowled
1298136,United Arab Emirates vs Netherlands,Netherlands,United Arab Emirates,BFW de Leede,3,14,18,1,0,77.78,out,caught
1298136,United Arab Emirates vs Netherlands,Netherlands,United Arab Emirates,CN Ackermann,4,17,19,1,0,89.47,out,caught
1298136,United Arab Emirates vs Netherlands,Netherlands,United Arab Emirates,TLW Cooper,5,8,16,0,0,50.0,out,lbw
1298136,United Arab Emirates vs Netherlands,Netherlands,United Arab Emirates,SA Edwards,6,16,19,0,0,84.21,not out,
1298136,United Arab Emirates vs Netherlands,Netherlands,United Arab Emirates,RE van der Merwe,7,0,2,0,0,0.0,out,bowled
1298136,United Arab Emirates vs Netherlands,Netherlands,United Arab Emirates,TJG Pringle,8,15,16,0,0,93.75,out,bowled
1298136,United Arab Emirates vs Netherlands,Netherlands,United Arab Emirates,LV van Beek,9,4,4,0,0,100.0,not out,
1298136,United Arab Emirates vs Netherlands,United Arab Emirates,Netherlands,Chirag Suri,1,12,20,1,0,60.0,out,caught
1298136,United Arab Emirates vs Netherlands,United Arab Emirates,Netherlands,Waseem Muhammad,2,41,47,1,2,87.23,out,caught
1298136,United Arab Emirates vs Netherlands,United Arab Emirates,Netherlands,Kashif Daud,3,15,14,0,1,107.14,out,bowled
1298136,United Arab Emirates vs Netherlands,United Arab Emirates,Netherlands,V Aravind,4,18,21,0,0,85.71,out,caught
1298136,United Arab Emirates vs Netherlands,United Arab Emirates,Netherlands,Zawar Farid,5,2,4,0,0,50.0,not out,
1298136,United Arab Emirates vs Netherlands,United Arab Emirates,Netherlands,Basil Hameed,6,4,4,1,0,100.0,out,caught
1298136,United Arab Emirates vs Netherlands,United Arab Emirates,Netherlands,CP Rizwan,7,1,2,0,0,50.0,out,bowled
1298136,United Arab Emirates vs Netherlands,United Arab Emirates,Netherlands,Aayan Afzal Khan,8,5,7,0,0,71.43,out,caught
1298136,United Arab Emirates vs Netherlands,United Arab Emirates,Netherlands,Junaid Siddique,9,0,1,0,0,0.0,not out,
1298137,Scotland vs West Indies,Scotland,West Indies,HG Munsey,1,66,53,9,0,124.53,not out,
1298137,Scotland vs West Indies,Scotland,West Indies,MA Jones,2,20,17,3,0,117.65,out,bowled
1298137,Scotland vs West Indies,Scotland,West Indies,MH Cross,3,3,5,0,0,60.0,out,caught
1298137,Scotland vs West Indies,Scotland,West Indies,RD Berrington,4,16,14,0,1,114.29,out,caught
1298137,Scotland vs West Indies,Scotland,West Indies,CS MacLeod,5,23,14,4,0,164.29,out,caught
1298137,Scotland vs West Indies,Scotland,West Indies,MA Leask,6,4,6,0,0,66.67,out,bowled
1298137,Scotland vs West Indies,Scotland,West Indies,CN Greaves,7,16,11,2,0,145.45,not out,
1298137,Scotland vs West Indies,West Indies,Scotland,KR Mayers,1,20,13,3,1,153.85,out,caught
1298137,Scotland vs West Indies,West Indies,Scotland,E Lewis,2,14,13,1,1,107.69,out,caught
1298137,Scotland vs West Indies,West Indies,Scotland,BA King,3,17,15,3,0,113.33,out,bowled
1298137,Scotland vs West Indies,West Indies,Scotland,N Pooran,4,5,9,0,0,55.56,out,bowled
1298137,Scotland vs West Indies,West Indies,Scotland,SSJ Brooks,5,4,9,0,0,44.44,out,caught
1298137,Scotland vs West Indies,West Indies,Scotland,R Powell,6,5,6,0,0,83.33,out,caught
1298137,Scotland vs West Indies,West Indies,Scotland,JO Holder,7,38,33,4,1,115.15,out,caught
1298137,Scotland vs West Indies,West Indies,Scotland,AJ Hosein,8,1,1,0,0,100.0,not out,
1298137,Scotland vs West Indies,West Indies,Scotland,AS Joseph,9,0,1,0,0,0.0,out,caught
1298137,Scotland vs West Indies,West Indies,Scotland,OF Smith,10,5,8,0,0,62.5,out,caught
1298137,Scotland vs West Indies,West Indies,Scotland,OC McCoy,11,2,3,0,0,66.67,not out,
1298138,Zimbabwe vs Ireland,Ireland,Zimbabwe,PR Stirling,1,0,2,0,0,0.0,out,bowled
1298138,Zimbabwe vs Ireland,Ireland,Zimbabwe,L Tucker,2,11,11,2,0,100.0,out,bowled
1298138,Zimbabwe vs Ireland,Ireland,Zimbabwe,A Balbirnie,3,3,4,0,0,75.0,out,caught
1298138,Zimbabwe vs Ireland,Ireland,Zimbabwe,HT Tector,4,1,4,0,0,25.0,out,caught
1298138,Zimbabwe vs Ireland,Ireland,Zimbabwe,C Campher,5,27,22,1,0,122.73,out,bowled
1298138,Zimbabwe vs Ireland,Ireland,Zimbabwe,GH Dockrell,6,24,20,3,0,120.0,out,bowled
1298138,Zimbabwe vs Ireland,Ireland,Zimbabwe,GJ Delany,7,24,20,1,1,120.0,out,caught
