player_name,team,playing_role,batting_style,bowling_style,description,image,matches_batted,innings,total_runs,batting_average,batting_strike_rate,boundary_percentage,matches_bowled,overs_bowled,runs_conceded,wickets,economy,bowling_average,bowling_strike_rate,avg_dot_ball_percentage
A Zampa,Australia,Bowler,,,,,1.0,1.0,0.0,0.0,0.0,0.0,2.0,8.0,58.0,3.0,7.25,19.33,16.0,27.085
AC Agar,Australia,Bowler,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,27.0,1.0,6.75,27.0,24.0,25.0
AJ Finch,Australia,Opener,,,,,3.0,3.0,107.0,53.5,110.31,50.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DA Warner,Australia,Player,,,,,3.0,3.0,19.0,6.33,82.61,21.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GJ Maxwell,Australia,Finisher,,,,,3.0,3.0,64.0,21.33,156.1,68.75,2.0,3.17,19.0,3.0,5.99,6.33,6.33,39.739999999999995
JR Hazlewood,Australia,Bowler,,,,,1.0,1.0,1.0,1.0,100.0,0.0,3.0,11.0,95.0,3.0,8.64,31.67,22.0,42.589999999999996
MA Starc,Australia,Bowler,,,,,1.0,1.0,4.0,4.0,57.14,0.0,3.0,12.0,107.0,3.0,8.92,35.67,24.0,33.333333333333336
MP Stoinis,Australia,Top/Middle Order Batter,,,,,3.0,3.0,101.0,50.5,177.19,69.31,3.0,7.0,61.0,1.0,8.71,61.0,42.0,18.05333333333333
MR Marsh,Australia,Batter,,,,,3.0,3.0,61.0,20.33,119.61,72.13,1.0,1.0,14.0,0.0,14.0,0.0,0.0,16.67
MS Wade,Australia,Player,,,,,2.0,2.0,9.0,9.0,128.57,44.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PJ Cummins,Australia,Bowler,,,,,1.0,1.0,21.0,21.0,116.67,66.67,3.0,12.0,113.0,3.0,9.42,37.67,24.0,43.05666666666667
TH David,Australia,Player,,,,,2.0,2.0,26.0,26.0,144.44,53.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Afif Hossain,Bangladesh,Batter,,,,,5.0,5.0,95.0,23.75,125.0,44.21,1.0,1.0,11.0,1.0,11.0,11.0,6.0,16.67
Ebadat Hossain,Bangladesh,Bowler,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.17,29.0,1.0,9.15,29.0,19.0,31.58
Hasan Mahmud,Bangladesh,Bowler,,,,,2.0,2.0,0.0,0.0,0.0,0.0,4.0,16.0,136.0,6.0,8.5,22.67,16.0,41.667500000000004
Liton Das,Bangladesh,Top/Middle Order Batter,,,,,5.0,5.0,127.0,31.75,142.7,58.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mehedi Hasan Miraz,Bangladesh,Player,,,,,1.0,1.0,11.0,11.0,84.62,0.0,1.0,3.0,32.0,0.0,10.67,0.0,0.0,22.22
Mosaddek Hossain,Bangladesh,Bowler,,,,,5.0,5.0,38.0,9.5,97.44,52.63,3.0,7.0,69.0,2.0,9.86,34.5,21.0,26.39
Mustafizur Rahman,Bangladesh,Bowler,,,,,2.0,2.0,9.0,9.0,225.0,66.67,5.0,20.0,113.0,3.0,5.65,37.67,40.0,40.0
Nasum Ahmed,Bangladesh,Bowler,,,,,1.0,1.0,7.0,7.0,116.67,57.14,1.0,4.0,16.0,1.0,4.0,16.0,24.0,50.0
Nazmul Hossain Shanto,Bangladesh,Opener,,,,,5.0,5.0,180.0,36.0,114.65,51.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nurul Hasan,Bangladesh,Player,,,,,5.0,5.0,41.0,13.67,97.62,34.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
